version,interestingApp,status,name,latestUpdate,storeName,releaseDate,providerCategory,healthEntityInvolved,EU,geographicCoverage,continents,appCategory,appFunctionalityCategory,appFunctionality,typesOfPersonalData ,clearPrivacyPolicy 
1.2.42,no,active,CoronApp - Colombia,2020-05-12T06:41:57,GooglePlay (Android),"Sep 3, 2017",national government,health authority; health facilities,no,COL,South America,covid-19 specific,information provision; information exchange; lockdown management,,,
1.4,no,active,Health Monitoring PDMA,2020-04-14T17:28:57,GooglePlay (Android),"Mar 31, 2020",local/regional government,health authority,no,PAK,Asia,health-generic,information provision,,,no
1.0,no,active,Egypt Hajj - بعثة الحج المصرية,2019-08-06T04:06:34,GooglePlay (Android),"Aug 5, 2019",non-profit organization,no,no,EGY,Africa,health-generic,other-health,,,
,yes,notactive,Coronavírus Ceará,,GooglePlay (Android),"Mar 20, 2020",local/regional government,health authority,no,BRA,South America,covid-19 specific,information exchange,symptoms monitoring with data sharing,,na
1.0,yes,notactive,BSafe Tracking,2020-05-21T04:15:15,GooglePlay (Android),"May 20, 2020",local/regional government,health authority,no,IND,Asia,covid-19 specific,lockdown management,mobility checking,location as gps/cell tower data; other,no
1,yes,active,COVID-19 Quarantine Monitor Tamil Nadu (official),2020-05-09T00:38:27,GooglePlay (Android),"Mar 24, 2020",local/regional government,health authority,no,IND,Asia,covid-19 specific,information exchange; lockdown management,symptoms monitoring with data sharing; manage self-isolation; mobility for citizen in lockdown,location as gps/cell tower data; health status; other,no
1,no,active,Bersatu Lawan COVID-19 (BLC),2020-05-23T14:09:08,GooglePlay (Android),"Jun 9, 2020",technology company,consortium,no,IDN,Asia,covid-19 specific,expert support; information provision; information exchange,,,
1,no,active,JamCOVID19,2020-05-14T19:14:20,GooglePlay (Android),"Apr 19, 2020",national government,health authority,no,JAM,North America,covid-19 specific,information provision; information exchange;  notifications,,,
1.05,no,notactive,Corona Watch,2020-04-13T09:15:53,GooglePlay (Android),"Mar 22, 2020",local/regional government,no,no,IND,Asia,covid-19 specific,information provision; lockdown management,,,
1.7.1,no,active,NCOVI,2020-04-21T17:12:10,GooglePlay (Android),"Mar 7, 2020",national government,health authority,no,VNM,Asia,covid-19 specific,information provision; personalised support without data sharing; information exchange; notifications,,,
1,yes,active,Ma Trousse CNESST,2020-04-30T15:20:02,GooglePlay (Android),,local/regional government,health facilities,no,CAN,North America,other,information provision; personalised support without data sharing, prevention; symptoms monitoring without data sharing,,na
1.0.0,no,active,Dados do Bem,2020-05-01T14:38:44,GooglePlay (Android),"Apr 15, 2020",local/regional government,health facilities,no,BRA,South America,covid-19 specific,expert support; information provision; information exchange,,,
1.4.21,yes,active,CoronApp,2020-03-15T20:58:25,GooglePlay (Android),"Mar 2, 2020",national government,health authority,no,ISR,Asia,covid-19 specific,information provision; information exchange; lockdown management; notifications,statistics; prevention; access to health services; manage self-isolation; communication with a doctor; mobility for citizen in lockdown,health status; gpsoptional; other,yes
0.0.3.8,no,active,Jaano,2020-04-28T18:25:36,GooglePlay (Android),"Mar 26, 2020",non-profit organization,na,no,IND,Asia,covid-19 specific,information provision; information exchange; notifications,,,
1,no,active,Guía Mensa,2020-05-16T03:47:49,GooglePlay (Android),"Mar 2, 2020",health company,health facilities,yes,ESP,Europe,health-generic,information provision,,,
1.3,yes,active,Speetar COVID-19,2020-05-11T09:19:37,GooglePlay (Android),"Apr 6, 2020",health company,consortium,no,LBY,Africa,covid-19 specific,information provision; information exchange; notifications,statistics; prevention; news; access to health services; self-diagnosis with data sharing; sending notifications; sending instructions,health status; other,no
1.7,no,active,Nepal Police,2020-04-08T09:41:29,GooglePlay (Android),"Sep 14, 2018",local/regional government,na,no,NPL,Asia,other,other,,,
0.0.6,no,active,SOS CORONA,2020-04-09T14:14:13,GooglePlay (Android),"Mar 17, 2020",national government,health authority,no,MLI,Africa,covid-19 specific,information provision,,,
0.0.9,no,active,Ayush Kavach - COVID,2020-05-12T16:09:32,GooglePlay (Android),"Apr 14, 2020",local/regional government,health authority,no,IND,Asia,covid-19 specific,information provision,,,
1.3.0,no,notactive,Covid-19 BA,2020-05-06T19:33:47,GooglePlay (Android),"Mar 26, 2020",local/regional government,na,no,ARG,South America,covid-19 specific,information provision; personalised support without data sharing,,,
,no,active,BCBSIL,,GooglePlay (Android),"Dec 17, 2010",health company,no,no,USA,North America,health-generic,information provision; other-health,,,
2.0.5,no,active,Corona Mukt Himachal,2020-05-12T09:05:52,GooglePlay (Android),"Mar 28, 2020",local/regional government,health authority,no,IND,Asia,covid-19 specific,lockdown management,,,
1,no,active,InfraBR Caminhoneiro,2020-05-16T12:09:59,GooglePlay (Android),"Oct 8, 2019",national government,no,no,BRA,South America,other,other,,,
8,no,active,COVID19 Care for Media,2020-04-17T13:16:13,GooglePlay (Android),"Mar 24, 2020",technology company,no,no,PAK,Asia,covid-19 specific,information provision,,,
Varies with device,no,active,Niramaya,2020-04-19T04:13:34,GooglePlay (Android),,technology company,no,no,IND,Asia,covid-19 specific,information provision; personalised support without data sharing,,,
1,no,active,COVapp,2020-04-21T13:19:48,GooglePlay (Android),"Apr 17, 2020",university(ies) or research centre(s),health facilities,yes,DEU,Europe,covid-19 specific,expert support,telemedicine,,
1,no,active,Managing your stress & anxiety,2020-05-06T21:30:36,GooglePlay (Android),"Apr 21, 2020",university(ies) or research centre(s),medicine research institute(s) university(ies),no,CAN,North America,covid-19 specific,personalised support without data sharing,,,
1.1.7,no,active,CoronApp,2020-04-29T20:28:50,GooglePlay (Android),"Apr 15, 2020",national government,health authority,no,CHL,South America,covid-19 specific,information provision; personalised support without data sharing; information exchange; notifications,,,
1,no,active,COVID-KAYA,2020-06-04T04:06:18,GooglePlay (Android),"Apr 28, 2020",international organisation,medicine research institute(s) university(ies),yes,WORLD,WORLD,covid-19 specific,expert support,,,
1,no,active,Vigilancia Epidemiologica 4.0,2020-04-27T22:02:04,GooglePlay (Android),,local/regional government,health facilities,no,ARG,South America,covid-19 influenced,expert support,,,
2.11,no,active,FEMA,2019-12-23T19:34:41,GooglePlay (Android),"Aug 24, 2011",national government,no,no,USA,North America,other,other,,,
1,no,active,Osler ePortfolio,2020-04-18T23:11:56,GooglePlay (Android),,health company,na,no,USA,North America,covid-19 specific,expert support,,,
1,no,active,MyRCGP,2020-05-14T14:43:12,GooglePlay (Android),"Feb 27, 2020",university(ies) or research centre(s),medicine research institute(s) university(ies),no,GBR,Europe,health-generic,expert support,,,
,no,active,COVID-19 Gov PK,,GooglePlay (Android),"Mar 27, 2020",national government,health authority,no,PAK,Asia,covid-19 specific,information exchange,self-diagnosis with data sharing,,
2.0.1,no,active,House Quarantine AP Police,2020-04-24T08:25:26,GooglePlay (Android),"Mar 24, 2020",technology company,no,no,IND,Asia,health-generic,information exchange; lockdown management,,location as gps/cell tower data,no
1.1.8,no,active,Moje ezdravie,2020-04-21T12:20:03,GooglePlay (Android),"Mar 15, 2020",national government,health authority,yes,SVK,Europe,covid-19 specific,information provision,,,
2.0.5,no,active,Coronavírus - SUS,2020-04-10T17:08:05,GooglePlay (Android),"Jul 5, 2018",national government,health authority,no,BRA,South America,covid-19 specific,information provision; personalised support without data sharing; information exchange,,,
0.1.1,yes,active,Bharatpur Metropolitan | COVID-19 Response System,2020-04-24T08:49:03,GooglePlay (Android),"Apr 7, 2020",technology company,no,no,IND,Asia,covid-19 specific,information provision; lockdown management,statistics; news; mobility checking,location as gps/cell tower data; health status; other,no
3.0.0,no,active,COVID-19 Care Tamil Nadu - (Official),2020-04-21T10:42:06,GooglePlay (Android),"Mar 28, 2020",local/regional government,na,no,IND,Asia,covid-19 specific,information provision; personalised support without data sharing; information exchange;  notifications,,,
1,yes,active,AMAN - Aman.jo JORDAN APP COVID-19,2020-05-30T12:49:10,GooglePlay (Android),"May 6, 2020",national government,health authority,no,JOR,Asia,covid-19 specific,contact tracing; notifications,proximity tracking; sending notifications,proximity; positive status,yes
1.0.6-prod,yes,notactive,eKaranténa,2020-05-28T09:42:59,GooglePlay (Android),"May 21, 2020",national government,health authority,yes,SVK,Europe,covid-19 specific,information exchange; contact tracing; lockdown management,manage self-isolation; continuous location sharing; mobility checking,location as gps/cell tower data; health status; positive status; other,yes
1.3,no,active,MP COVID RESPONSE APP,2020-04-23T17:32:33,GooglePlay (Android),"Mar 28, 2020",local/regional government,health authority,no,IND,Asia,covid-19 specific,information provision; information exchange,,,
2.4.4 (18.82),no,active,mObywatel - publiczna aplikacja mobilna,2020-03-07T10:00:55,GooglePlay (Android),"Oct 27, 2017",national government,health authority,yes,POL,Europe,covid-19 influenced,information provision,,,
2.0.1,no,active,Hayat Eve Sığar,2020-05-13T22:25:14,GooglePlay (Android),"Apr 10, 2020",national government,health authority,no,TUR,Europe,covid-19 specific,information provision; information exchange,,,
0.0.1,no,active,AntiCOVID Perú,2020-03-27T02:18:52,GooglePlay (Android),"Mar 26, 2020",local/regional government,health authority,no,PER,South America,covid-19 specific,information provision; personalised support without data sharing,,,
,yes,active,Asistencia COVID-19,,GooglePlay (Android),"Apr 5, 2020",national government,no,yes,ESP,Europe,covid-19 specific,information provision,self-diagnosis without data sharing; news,health status; location as gps/cell tower data,yes
1.0.4,no,active,Covid Watch,2020-06-28T14:47:21,GooglePlay (Android),"Jun 14, 2020",community,no,no,IND,Asia,covid-19 specific,information exchange; expert support,,,
2.0.2,yes,active,Bluezone - Electronic mask,2020-05-15T16:33:51,GooglePlay (Android),"Apr 16, 2020",national government,health authority,no,VNM,Asia,covid-19 specific,contact tracing; notifications,proximity tracking; sending notifications,proximity; positive status,no
,yes,notactive,TraceCovid,,GooglePlay (Android),"Apr 5, 2020",national government,health authority,no,ARE,Asia,covid-19 specific,information exchange; contact tracing,continuous location sharing; sending instructions,proximity; positive status,yes
1.0,no,active,Corona Check Screening,2020-05-29T08:57:34,GooglePlay (Android),"Apr 8, 2020",community,no,yes,DEU,Europe,covid-19 specific,information provision; personalised support without data sharing; notifications,,,
1,no,active,Coronavirus Support App (UK),2020-05-30T08:33:54,GooglePlay (Android),"May 31, 2020",health company,consortium,no,GBR,Europe,covid-19 specific,information provision; personalised support without data sharing,,,
1.0,yes,active,CRUSH COVID RI,2020-05-15T20:05:09,GooglePlay (Android),"May 15, 2020",local/regional government,health authority,no,USA,North America,covid-19 specific,information provision; personalised support without data sharing; contact tracing; notifications,news; access to health services; access to health services; occasional location sharing; sending notifications,proximity; location as gps/cell tower data; health status; other,yes
2.15.2,no,active,Активный гражданин,2020-04-21T13:49:02,GooglePlay (Android),"May 14, 2014",local/regional government,no,no,RUS,Europe,other,other,,,
1,no,active,Ministry of Information,2020-05-14T14:11:33,GooglePlay (Android),"Jun 2, 2018",national government,no,no,KHM,Asia,other,information provision,,,
1,yes,active,CORONAVIRUS - Діагностика,2020-05-12T01:37:20,GooglePlay (Android),"Apr 9, 2020",health company,no,no,UKR,Europe,covid-19 specific,information provision; information exchange; expert support,manage test; statistics; medication; news; symptoms monitoring with data sharing; risk assessment with data sharing; communication with a doctor,health status,no
